Hoover,Garrison,Glen_Canyon,Oahe,Fort_Peck,Grand_Coulee,Kentucky,Sam_Rayburn,Wolf_Creek,Libby_Dam,Bull_Shoals,Harry_S_Trauman,Denison,Toledo_Bend,Shasta,Flaming_Gorge,Eufaula_Lake,J_Storm_Thurmond,Blakely_Mountain,Oroville,Table_Rock,Hartwell,John_H_Kerr,Norris,New_Melones
168.4052068,494.5741153,289.114303,644.2897944,172.1665888,3272.994985,679.706,8.2401888,132.5360966,163.8905749,57.86275485,44.77766321,74.12840403,129.2676308,178,29.3265,17.2017893,134.6,17.13315763,140,50.2,53.314,316.5799788,47.52193199,16.77959868
201.5552068,494.5741153,314.386303,664.8157944,161.9095888,3260.462985,734.609,8.1269216,138.8300966,185.1905749,52.19725485,38.70866321,79.85900403,129.2676308,178,25.65,17.0602053,139.55,13.92165763,140,50.2,51.076,355.9750788,50.11993199,19.44779868
168.4052068,471.3241153,289.114303,640.3942944,161.9095888,3283.240985,789.512,7.9853376,145.1240966,163.8905749,55.83892525,44.77766321,79.90675903,129.2676308,178,29.3265,16.6071365,144.5,17.13315763,140,50.2,53.314,346.5059033,52.71793199,22.11599868
135.2552068,448.0741153,263.842303,664.8157944,143.8495888,3358.240985,844.415,7.8720704,151.4180966,182.4475749,50.17342525,50.84666321,81.04898203,129.2676308,178,25.65,15.8425829,149.45,13.92165763,140,50.2,55.552,307.1108033,55.31593199,24.78419868
168.4052068,424.8241153,289.114303,689.2372944,125.7895888,3283.240985,899.318,7.8437536,157.7120966,161.1475749,55.83892525,56.91566321,78.79318903,129.2676308,178,26.19499446,19.9750829,144.5,17.13315763,140,52.756,57.79,302.3985863,57.91393199,27.45239868
201.5552068,401.5741153,314.386303,693.1327944,133.5925888,3358.240985,844.415,7.8720704,164.0060966,139.8475749,61.50442525,62.98466321,73.06258903,129.2676308,178,25.91787327,16.7487205,139.55,20.34465763,140,55.312,55.552,341.7936863,60.51193199,30.12059868
168.4052068,378.3241153,289.114303,717.5542944,120,3283.240985,899.318,7.78712,170.3000966,125.9200749,67.16992525,69.05366321,67.33198903,129.2676308,178,26.23682493,16.0124837,134.6,17.13315763,140,57.868,57.79,363.2052693,63.10993199,27.45239868
135.2552068,401.5741153,263.842303,721.4497944,133.5925888,3289.528985,954.221,7.7021696,176.5940966,128.7875749,61.50442525,75.12266321,73.06258903,129.2676308,178,25.65,17.5132741,139.55,13.92165763,140,60.424,55.552,362.9696108,65.70793199,24.78419868
168.4052068,381.3061153,289.114303,721.4497944,151.6525888,3269.832985,954.7131197,7.78712,182.8880966,123.1600749,55.83892525,81.19166321,78.79318903,129.2676308,178,25.65,14.29043344,144.5,17.13315763,140,57.868,53.314,323.5745108,68.30593199,22.11599868
190.4612068,404.5561153,311.549383,721.4497944,133.5925888,3344.832985,1009.61612,8.1835552,189.1820966,144.4600749,50.17342525,87.26066321,80.25678403,129.2676308,178,25.65,18.42293344,149.45,13.92165763,140,55.312,51.076,284.1794108,70.90393199,24.78419868
